   1 -0.017849 1
   7 -2.166751 1
  13 -2.999389 1
  25 -3.728778 1
  29 -3.964735 1
  36 -4.198140 1
  42 -4.476376 1
  47 -4.663146 1
  57 -4.945501 1
  59 -4.999257 1
  67 -5.224407 1
  73 -5.366331 1
  81 -5.592000 1
  86 -5.694766 1
  88 -5.738204 1
  94 -5.829380 1
   3 -1.118203 2
   9 -2.276274 2
  15 -3.131500 2
  17 -3.374588 2
  27 -3.813273 2
  34 -4.108052 2
  37 -4.258052 2
  40 -4.420668 2
  49 -4.728981 2
  53 -4.899813 2
  66 -5.180646 2
  72 -5.341050 2
  78 -5.474071 2
  80 -5.576209 2
  91 -5.798231 2
  96 -5.860838 2
   4 -1.175061 3
   8 -2.227105 3
  16 -3.219109 3
  19 -3.473314 3
  26 -3.774003 3
  31 -4.035170 3
  38 -4.310924 3
  43 -4.528895 3
  52 -4.827270 3
  56 -4.934123 3
  61 -5.070655 3
  63 -5.138971 3
  76 -5.462341 3
  84 -5.629768 3
  85 -5.680420 3
  92 -5.817369 3
   2 -0.594789 4
   5 -1.219258 4
   6 -1.815259 4
  10 -2.433758 4
  11 -2.603952 4
  12 -2.801729 4
  14 -3.018016 4
  18 -3.448062 4
  20 -3.505238 4
  21 -3.570064 4
  22 -3.630174 4
  23 -3.711482 4
  24 -3.727571 4
  28 -3.855931 4
  30 -3.999597 4
  32 -4.056279 4
  33 -4.102623 4
  35 -4.150622 4
  39 -4.360027 4
  41 -4.436055 4
  44 -4.540410 4
  45 -4.569381 4
  46 -4.657343 4
  48 -4.700292 4
  50 -4.772374 4
  51 -4.823055 4
  54 -4.919307 4
  55 -4.927721 4
  58 -4.972350 4
  60 -5.004368 4
  62 -5.115878 4
  64 -5.142717 4
  65 -5.179148 4
  68 -5.237000 4
  69 -5.272858 4
  70 -5.302998 4
  71 -5.325278 4
  74 -5.402517 4
  75 -5.441079 4
  77 -5.472556 4
  79 -5.518971 4
  82 -5.593185 4
  83 -5.621939 4
  87 -5.703015 4
  89 -5.751095 4
  90 -5.770595 4
  93 -5.828868 4
  95 -5.839710 4
  97 -5.888900 4
  98 -5.912717 4
  99 -5.972785 4
 100 -5.995694 4
