   3 -0.241071 1
   6 -1.970324 1
  11 -2.159899 1
  20 -3.729289 1
  21 -3.797223 1
  26 -3.938766 1
  29 -3.990684 1
  44 -5.231833 1
  46 -5.397255 1
  52 -5.499041 1
  55 -5.528030 1
  56 -5.645865 1
  61 -5.803038 1
  68 -5.862487 1
  70 -5.915110 1
   1 -0.241061 2
   8 -1.970342 2
   9 -2.159889 2
  18 -3.729285 2
  22 -3.797227 2
  28 -3.938773 2
  31 -3.990688 2
  42 -5.231825 2
  48 -5.397261 2
  51 -5.499034 2
  53 -5.528027 2
  58 -5.645875 2
  62 -5.803038 2
  67 -5.862484 2
  69 -5.915108 2
   2 -0.241062 3
   7 -1.970341 3
  10 -2.159890 3
  19 -3.729286 3
  23 -3.797227 3
  27 -3.938772 3
  30 -3.990685 3
  43 -5.231830 3
  47 -5.397257 3
  50 -5.499033 3
  54 -5.528029 3
  57 -5.645874 3
  63 -5.803040 3
  66 -5.862479 3
  71 -5.915111 3
   4 -1.130452 4
   5 -1.130457 4
  12 -2.738131 4
  13 -2.807834 4
  14 -2.807840 4
  15 -3.105834 4
  16 -3.105841 4
  17 -3.233116 4
  24 -3.876426 4
  25 -3.876426 4
  32 -4.516430 4
  33 -4.516435 4
  34 -4.643419 4
  35 -4.708293 4
  36 -4.708295 4
  37 -4.827220 4
  38 -4.827227 4
  39 -4.988227 4
  40 -5.049041 4
  41 -5.049045 4
  45 -5.300171 4
  49 -5.450715 4
  59 -5.660834 4
  60 -5.660834 4
  64 -5.860724 4
  65 -5.860725 4
  72 -5.916196 4
  73 -6.193353 4
  74 -6.218818 4
  75 -6.218824 4
